int,hex,bin,,,,,,,,result
221,0xdd,1,1,0,1,1,1,0,1,0
222,0xde,1,1,0,1,1,1,1,0,0
223,0xdf,1,1,0,1,1,1,1,1,0
224,0xe0,1,1,1,0,0,0,0,0,0
225,0xe1,1,1,1,0,0,0,0,1,0
226,0xe2,1,1,1,0,0,0,1,0,0
227,0xe3,1,1,1,0,0,0,1,1,0
228,0xe4,1,1,1,0,0,1,0,0,0
229,0xe5,1,1,1,0,0,1,0,1,0
230,0xe6,1,1,1,0,0,1,1,0,0
231,0xe7,1,1,1,0,0,1,1,1,0
232,0xe8,1,1,1,0,1,0,0,0,0
233,0xe9,1,1,1,0,1,0,0,1,0
234,0xea,1,1,1,0,1,0,1,0,0
235,0xeb,1,1,1,0,1,0,1,1,0
236,0xec,1,1,1,0,1,1,0,0,0
237,0xed,1,1,1,0,1,1,0,1,0
238,0xee,1,1,1,0,1,1,1,0,0
239,0xef,1,1,1,0,1,1,1,1,0
240,0xf0,1,1,1,1,0,0,0,0,0
241,0xf1,1,1,1,1,0,0,0,1,0
242,0xf2,1,1,1,1,0,0,1,0,0
243,0xf3,1,1,1,1,0,0,1,1,0
244,0xf4,1,1,1,1,0,1,0,0,0
245,0xf5,1,1,1,1,0,1,0,1,0
246,0xf6,1,1,1,1,0,1,1,0,0
247,0xf7,1,1,1,1,0,1,1,1,0
248,0xf8,1,1,1,1,1,0,0,0,0
249,0xf9,1,1,1,1,1,0,0,1,0
250,0xfa,1,1,1,1,1,0,1,0,0
251,0xfb,1,1,1,1,1,0,1,1,0
252,0xfc,1,1,1,1,1,1,0,0,0
253,0xfd,1,1,1,1,1,1,0,1,h
254,0xfe,1,1,1,1,1,1,1,0,h
255,0xff,1,1,1,1,1,1,1,1,m
